"GeneSymbol","GeneID","RefSeq_Protein_GI","RefSeq_Protein_Accession","Uniprot_Protein_Accession"
"MARCH1",55016,"1034640310; 1034640308; 8923613; 261823980; 1034640312; 767932179","NP_060393; XP_016863823; XP_016863824; NP_001159845; XP_016863825; XP_011530357","Q8TCQ1; Q9NWR0; D6RGC4; A8K0Z6; D3DP29"
"MARCH3",115123,"767935257; 767935259; 767935263; 1034643507; 767935261; 767935266; 1034643505; 30425370","XP_011541431; XP_011541432; XP_011541434; XP_011541433; XP_016864504; NP_848545; XP_016864503; XP_011541430","Q86UD3; B9EJE7; A8K264"
"MARCH4",57574,"57977325","NP_065865","Q4KMN7; Q86WR8; Q9P2E8"
"MARCH5",54708,"767963111; 8923415","NP_060294; XP_011538188","Q9NX47"
"MARCH6",10299,"397787551; 397787554; 33589846; 1034643262; 767934154; 767934159; 767934164","NP_001257589; XP_011512234; XP_011512236; XP_011512238; NP_001257590; XP_016864433; NP_005876","O60337; Q86X77; A5PKZ4; B4DKJ2; D3DTC8; O14670; B4DT33"
"MARCH7",64844,"544346245; 544346219; 1034615927; 12383066; 1034615925; 530370794; 1034615921; 530370796; 544346087; 1034615929","XP_016860209; XP_005246830; NP_001269735; NP_001269736; XP_005246831; XP_016860210; NP_073737; XP_016860208; XP_016860207; NP_001269734","B7Z5K0; D3DPB0; A8K9X1; Q53GQ1; B7ZAR7; B7Z7P5; Q9H992; F5H6W4; Q9BTR9"
"MARCH8",220972,"767962112; 767962106; 544583444; 50539410; 50539414; 530392652; 578819104;","NP_001269795; NP_659458; XP_011537797; NP_001002266; XP_005271861; XP_011537794; XP_006717767;","H0Y7C6; B2R8E7; Q8TC72; A0A024R7U2; Q5T0S8; Q5T0T0"
"MARCH9",92979,"40255016","NP_612405","Q8N9T1; Q86YJ5; B2R9U9; Q86VN5; Q96GG2"
"MARCH10",162333,"767993826; 767993822; 154937342; 578830495; 578830493; 578830502; 767993824; 530411680; 571026623; 578830489; 578830497; 154937340; 578830491; 578830499; 571026626","XP_005257155; XP_005257159; NP_001094345; XP_005257154; NP_001275708; XP_005257152; XP_011522737; XP_005257157; XP_011522738; XP_011522739; NP_001275709; NP_689811; XP_005257153; XP_005257160; XP_005257163","Q8IYS7; D3DU09; Q8N7Z7; B3KVK0; A0A140VKA1; Q8NA82; J3KTN9; G3V1Q5"
"MARCH11",441061,"156523244","NP_001096032","A6NNE9; A7E2S6"
"DEC1",50514,"1370514579; 8393250","NP_059114; XP_024303334","Q9P2X7"
"A1BG",1,"21071030","NP_570602","Q68CK0; A8K052; Q96P39; P04217; V9HWD8; Q8IYJ6"
"A1CF",29974,"767962691; 311771764; 20357578; 1370456952; 1034567978; 767962688; 530393462; 530393466; 20357572; 311771766; 311771768; 20357575","NP_620310; XP_005269777; XP_011538032; NP_001185748; XP_005269775; XP_016871649; NP_001185747; NP_620311; NP_001185749; XP_011538031; XP_024303734; NP_055391","Q9NQ94; Q9NQX9; A0A024QZM7; Q9NZD3; B7ZM14; Q5SZQ0; A0A024QZJ5; A1L4F2; A8K7G7; A0A024QZI9; B4E1E3; F8W9F8; Q9NQX8; Q9NXC9; Q9NQ93"
"A2M",2,"1105531502; 1105531504; 578822814; 66932947; 1105531506","XP_006719119; NP_000005; NP_001334354; NP_001334352; NP_001334353","Q6PIY3; Q68DN2; Q59F47; Q5QTS0; Q6PN97; P01023; Q13677"
"A2ML1",144568,"767971682; 767971684; 539846446; 1034578173; 1034578175; 1034578177; 1519313966;","NP_001269353; NP_653271; XP_016874358; XP_011518868; XP_011518869; XP_016874357; XP_016874359","A8K2U0; Q2M224; B5MDD1; B7Z7V4; D3DUV3; Q8N1M4; Q96LQ8; Q6ZW52; B3KVV6; Q6ZW53; F5H2Z2"
"A3GALT2",127550,"122937275","NP_001073907;","U3KPV4"
"A4GALT",53947,"530420175; 966750452; 578837271; 1034629093; 530420177; 8392830; 530420171; 530420179; 578837269; 768025131","XP_016884320; XP_005261703; XP_005261704; XP_011528535; NP_001304967; XP_005261701; XP_005261705; XP_006724328; XP_006724329; NP_059132","A0A0S2Z5J1; B2R7C4; Q9NPC4; Q9P1X5"
"A4GNT",51146,"1034633684; 1034633686; 7705859","XP_016862033; XP_016862032; NP_057245","Q9UNA3; Q0VDK2; Q0VDK1"
"AAAS",8086,"291045307; 12962937; 767975412; 767975417","NP_056480; XP_011537080; XP_011537082; NP_001166937;","Q9UG19; Q5JB47; Q9NWI6; Q9NRG9"
"AACS",65985,"767975176; 985701021; 985701010; 31982927","XP_011536994; NP_076417; NP_001306768; NP_001306769","Q49AB9; Q8IWD2; Q8NEW5; Q9H829; Q49AC3; Q9HA19; A0A024RBV2; Q9BSJ9; Q658Q8; Q86V21"
"AADAC",13,"68299767; 530373892","XP_005247161; NP_001077","D3DNJ6; A8K3L3; Q8N1A9; P22760"
"AADACL2",344752,"206597554; 767926560","NP_997248; XP_011511055","Q5HYJ4; Q6P093"
"AADACL3",126767,"614458179; ","NP_001096640; ","Q5VUY0; B3KXR9; Q5VUY1"
"AADACL4",343066,"61966717; 1034558146; 1034558144","NP_001013652; XP_016856641; XP_016856642","Q5VUY2"
"AADAT",51166,"1370487019; 557878725; 767932077; 578809158; 7705897; 33469970; 557878723","XP_006714294; XP_024309845; NP_057312; NP_001273612; NP_872603; XP_011530322; NP_001273611","B3KP84; Q4W5N8; Q8N5Z0; Q9UL02"
"AAGAB",79719,"428978472; 1370467243; 767985297; 153251315; 1370467245; 428978474","NP_078942; XP_024305821; NP_001258814; NP_001258815; XP_024305820; XP_011520322","Q7Z5X9; Q9H0P1; Q6PD74; Q9HAK0; B4DG44; Q6FI86"
"AAK1",22848,"148277037","NP_055726","Q53RX6; Q4ZFZ3; Q2M2I8; Q9UPV4"
"AAMDC",28971,"948284377; 1391723662; 1034573268; 948284327; 948284356; 948284388; 948284409; 767968017; 34147384; 767968020","XP_011543271; XP_016873109; NP_001303889; NP_001303890; NP_001350493; NP_078960; NP_001303887; XP_011543270; NP_001303891; NP_001303886","E9PNP3; Q9H7C9; Q96AQ4; E9PLK9; Q9Y6B1; K4DI89"
"AAMP",14,"1370476788; 700584700; 55743075","XP_024308480; NP_001289474; NP_001078","A0A024R410; C9JEH3; Q8WUJ9; Q96H92; Q13685"
"AANAT",15,"4501845; 262231744; 1034598460","NP_001079; XP_016879748; NP_001160051","J3KMZ5; A0AVF2; F1T0I5; Q16613; Q562F4"
"AAR2",25980,"768016887; 18034690; 578835942; 428977337; 768016883","XP_011527064; XP_006723833; NP_001258803; XP_011527065; NP_056326","Q9Y312; E1P5S7; Q9UFK9; Q9H4F9; Q9P1P3"
"AARD",441376,"70778889","NP_001020528","A5PKU8; Q4LEZ3; B2RU19"
"AARS",16,"109148542","NP_001596","Q53GV7; A6NF14; B4DR45; P49588; Q96FA0"
"AARS2",57505,"767940405; 530382281; 1034651029; 1519312576; ","XP_005249302; XP_011513066; NP_065796; XP_016866601; ","A2RRN5; Q8N198; Q9ULF0; Q5JTZ9; Q96D02"
"AARSD1",80755,"387528025","NP_001248363","B4DI73; Q9BTE6"
"AASDH",132949,"1034638425; 1034638427; 557786183; 557786167; 1021589396; 45580730; 1021589394; 557786117; 557786145; 1034638423; 1034638429; 557786141; 1021589400; 1021589398; 1034638431; ","NP_001273597; XP_016863232; NP_001273598; NP_001273601; NP_001273599; NP_001310822; XP_016863229; NP_001310819; NP_001310821; XP_016863230; XP_016863233; NP_861522; XP_016863231; NP_001273600; NP_001310828","Q4L235; A5PL22; Q63HR7; Q96BW4; A5D8V3; B7ZAI1; Q6TFZ6; B4E195; Q6IPP8; Q7Z5Y3; R4GNB1; B4E2K0; Q63HK2; Q9P064; B4DFZ3"
"AASDHPPT",60496,"1370459892; 20357568","XP_024304409; NP_056238","B4DDW7; Q9C068; Q9NRN7; B2R6D1; Q9UG80; Q9Y389; Q9P0Q3"
"AASS",10157,"767946657; 13027640","XP_011514027; NP_005754","A4D0W4; O95462; Q9UDR5"
"AATF",26574,"767994284; 7657013","XP_011522913; NP_036270","Q9P0A4; Q9UNX5; A6NCJ6; B3KQ26; Q9NY61"
"AATK",9625,"578831689; 767996600; 578831691; 335353809; 1034602331; 1034602335; 578831693; 767996596; 187937179; 578831695; 767996603","XP_006722257; XP_006722258; XP_011523812; XP_011523813; XP_006722259; XP_011523811; NP_001073864; NP_004911; XP_006722256; XP_016880910; XP_016880911","O75136; Q6ZMQ8; Q6ZN31; H7C175; Q86X28"
"ABAT",18,"767986982; 38679946; 38679950; 767986980; 188536080","XP_011520702; XP_011520703; NP_065737; NP_000654; NP_001120920","Q8N5W2; X5D8S1; P80404; A8K386; Q99800; Q16260; Q96BG2"
"ABCA1",19,"767956552; 1034664144; 767956550; 767956558; 1034664140; 530390674; 767956554; 1034664138; 21536376; 1034664148; 767956548; 1034664142; 530390668","XP_011516646; XP_005251830; XP_016869870; XP_011516643; XP_011516644; XP_016869867; XP_016869868; XP_016869871; NP_005493; XP_005251833; XP_011516641; XP_011516642; XP_016869869","Q9UN07; Q96S56; Q96T85; B7XCW9; O95477; Q5VX33; Q9UN08; B2RUU2; Q9NQV4; Q9UN09; Q9UN06"
"ABCA10",10349,"153792144","NP_525021","C9JZH2; Q7Z7P7; Q8WWZ4; Q7Z2I9; C9K035; Q6PIQ6; Q86TD2"
"ABCA12",26154,"27881501; 767917543; 30795238; ","NP_056472; NP_775099; XP_011509253","Q96JT3; Q8IZW6; Q9Y4M5; B3KVV3; Q86UK0; Q53S55; Q53QE2"
